Geneid	"RNA STAR on data 17, data 15, and data 9: mapped.bam"	Public Name
WBGene00000977	505	dhs-14
WBGene00000978	34	dhs-15
WBGene00000979	53	dhs-16
WBGene00000980	1130	dhs-17
WBGene00000981	823	dhs-18
WBGene00000982	2545	dhs-19
WBGene00000983	808	dhs-20
WBGene00000984	1001	dhs-21
WBGene00000985	10600	dhs-22
WBGene00000986	206	dhs-23
WBGene00000987	3400	dhs-24
WBGene00000988	619	dhs-25
WBGene00000989	3876	dhs-26
WBGene00000990	847	dhs-27
WBGene00000991	4440	dhs-28
WBGene00000992	306	dhs-29
WBGene00000993	1496	dhs-30
WBGene00000994	5441	ints-6
WBGene00000995	6974	die-1
WBGene00000996	7120	dif-1
WBGene00000998	3664	dig-1
WBGene00001000	2699	dim-1
WBGene00001001	10474	dis-3
WBGene00001002	8002	div-1
WBGene00001005	19116	dlc-1
WBGene00001006	6847	dlg-1
WBGene00001007	8278	dli-1
WBGene00001008	2371	dlk-1
WBGene00001016	11354	dna-2
WBGene00001017	16693	dnc-1
WBGene00001018	6307	dnc-2
WBGene00001019	6039	dnj-1
WBGene00001020	2433	dnj-2
WBGene00001021	631	dnj-3
WBGene00001022	1602	dnj-4
WBGene00001023	49195	dnj-5
WBGene00001025	2887	dnj-7
WBGene00001026	10271	dnj-8
WBGene00001027	4467	dnj-9
WBGene00001028	4193	dnj-10
WBGene00001029	26190	dnj-11
WBGene00001030	28084	dnj-12
WBGene00001031	13279	dnj-13
WBGene00001032	3003	dnj-14
WBGene00001033	1834	dnj-15
WBGene00001034	4514	dnj-16
WBGene00001035	4643	dnj-17
WBGene00001036	2563	dnj-18
WBGene00001037	25019	dnj-19
WBGene00001038	14061	dnj-20
WBGene00001039	781	dnj-21
WBGene00001040	6030	dnj-22
WBGene00001041	7460	dnj-23
WBGene00001042	485	dnj-24
WBGene00001043	7534	dnj-25
WBGene00001044	1878	dnj-26
WBGene00001045	3314	dnj-27
WBGene00001046	3826	dnj-28
WBGene00001047	16161	dnj-29
WBGene00001048	3439	dnj-30
WBGene00001049	7123	dog-1
WBGene00001050	2782	dom-3
WBGene00001051	14322	cks-1
WBGene00001052	89	dop-1
WBGene00001053	156	dop-2
WBGene00001054	157	dpf-1
WBGene00001055	999	dpf-2
WBGene00001056	30555	dpf-3
WBGene00001057	7231	dpf-4
WBGene00001058	20208	dpf-5
WBGene00001059	267	dpf-6
WBGene00001060	6189	dpf-7
WBGene00001061	12920	dpl-1
WBGene00001062	2	dpr-1
WBGene00001063	150	dpy-1
